0,1
dataset/waves/prwq2n.wav,place red with q two now
dataset/waves/sban2n.wav,set blue at n two now
dataset/waves/bgit6p.wav,bin green in t six please
dataset/waves/bwwn8p.wav,bin white with n eight please
dataset/waves/lgil7a.wav,lay green in l seven again
dataset/waves/lbbq9s.wav,lay blue by q nine soon
dataset/waves/bgaa6n.wav,bin green at a six now
dataset/waves/lrbe8p.wav,lay red by e eight please
dataset/waves/pbwc9s.wav,place blue with c nine soon
dataset/waves/srbu9a.wav,set red by u nine again
dataset/waves/pgwy8n.wav,place green with y eight now
dataset/waves/bris4p.wav,bin red in s four please
dataset/waves/lriq6n.wav,lay red in q six now
dataset/waves/bwba5s.wav,bin white by a five soon
dataset/waves/bgwb4n.wav,bin green with b four now
dataset/waves/srau4p.wav,set red at u four please
dataset/waves/sran9s.wav,set red at n nine soon
dataset/waves/sgwd1s.wav,set green with d one soon
dataset/waves/lrbl2p.wav,lay red by l two please
dataset/waves/pwaq3a.wav,place white at q three again
dataset/waves/srah5s.wav,set red at h five soon
dataset/waves/lwar9a.wav,lay white at r nine again
dataset/waves/brwg6n.wav,bin red with g six now
dataset/waves/sbba9s.wav,set blue by a nine soon
dataset/waves/lrar2p.wav,lay red at r two please
dataset/waves/bras9a.wav,bin red at s nine again
dataset/waves/swbp1a.wav,set white by p one again
dataset/waves/bbwm6p.wav,bin blue with m six please
dataset/waves/swbpzp.wav,set white by p zero please
dataset/waves/bgwi1a.wav,bin green with i one again
dataset/waves/praj2p.wav,place red at j two please
dataset/waves/sgwd3a.wav,set green with d three again
dataset/waves/swwv6n.wav,set white with v six now
dataset/waves/bgat8n.wav,bin green at t eight now
dataset/waves/sgwj5s.wav,set green with j five soon
dataset/waves/pwwk5s.wav,place white with k five soon
dataset/waves/bram4p.wav,bin red at m four please
dataset/waves/bwbn3s.wav,bin white by n three soon
dataset/waves/bbal9a.wav,bin blue at l nine again
dataset/waves/bbil3s.wav,bin blue in l three soon
dataset/waves/lgif3a.wav,lay green in f three again
dataset/waves/pgbk7s.wav,place green by k seven soon
dataset/waves/pbaczn.wav,place blue at c zero now
dataset/waves/sbwo3a.wav,set blue with o three again
dataset/waves/lbij7s.wav,lay blue in j seven soon
dataset/waves/swbo9s.wav,set white by o nine soon
dataset/waves/sgwq1a.wav,set green with q one again
dataset/waves/srbu6n.wav,set red by u six now
dataset/waves/lgwg4p.wav,lay green with g four please
dataset/waves/priv4n.wav,place red in v four now
dataset/waves/lgbm2n.wav,lay green by m two now
dataset/waves/lwwf8p.wav,lay white with f eight please
dataset/waves/sria7s.wav,set red in a seven soon
dataset/waves/bgah2p.wav,bin green at h two please
dataset/waves/swao6p.wav,set white at o six please
dataset/waves/bgig6n.wav,bin green in g six now
dataset/waves/swao7a.wav,set white at o seven again
dataset/waves/swab8p.wav,set white at b eight please
dataset/waves/lbax9s.wav,lay blue at x nine soon
dataset/waves/bbal7s.wav,bin blue at l seven soon
dataset/waves/sbbh3s.wav,set blue by h three soon
dataset/waves/pgiq4p.wav,place green in q four please
dataset/waves/bwwa8n.wav,bin white with a eight now
dataset/waves/lrik3s.wav,lay red in k three soon
dataset/waves/pric4p.wav,place red in c four please
dataset/waves/lrwl4n.wav,lay red with l four now
dataset/waves/swwc6p.wav,set white with c six please
dataset/waves/lwal2n.wav,lay white at l two now
dataset/waves/lrwszp.wav,lay red with s zero please
dataset/waves/pwid1a.wav,place white in d one again
dataset/waves/bril8n.wav,bin red in l eight now
dataset/waves/srwv1s.wav,set red with v one soon
dataset/waves/lwbz5s.wav,lay white sp by z five soon
dataset/waves/prav9s.wav,place red at v nine soon
dataset/waves/bwbg9s.wav,bin white by g nine soon
dataset/waves/lgas3s.wav,lay green at s three soon
dataset/waves/bwbn4p.wav,bin white sp by n four please
dataset/waves/lrar1s.wav,lay red at r one soon
dataset/waves/brbg2n.wav,bin red sp by g two now
dataset/waves/sgwqzp.wav,set green with q zero please
dataset/waves/lwbs2p.wav,lay white by s two please
dataset/waves/swwp4p.wav,set white with p four please
dataset/waves/sbat6n.wav,set blue at t six now
dataset/waves/pgbe3s.wav,place green by e three soon
